,RowNumber,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,EngagementScore,FinancialHealthScore,CustomerTenureGroup,AvgBalanceByGeography,ClusterLabel,LogBalance
0,1,0.5379999999999999,France,Female,42,2,0.0,1,1,1,0.5067348931822989,1,1.0,0.3482449643940996,New,0.2474815034094356,1,0.0
1,2,0.5159999999999999,Spain,Female,41,1,0.334031478677259,1,0,1,0.5627087386845444,0,0.6666666666666666,0.4709134057872677,New,0.2463874785313172,1,0.2882055444243618
2,3,0.3039999999999999,France,Female,42,8,0.6363571759354565,3,1,0,0.5696543519906151,1,1.3333333333333333,0.5033371759753571,Loyal,0.2474815034094356,1,0.4924725370505573
3,4,0.6980000000000001,France,Female,39,1,0.0,2,0,0,0.4691200509648671,0,0.6666666666666666,0.389040016988289,New,0.2474815034094356,1,0.0
4,5,1.0,Spain,Female,43,2,0.5002462155052676,1,1,1,0.3954003607344502,0,1.0,0.6318821920799059,New,0.2463874785313172,1,0.4056292383082445
5,6,0.59,Spain,Male,44,8,0.4533943642217444,2,1,0,0.7487971601287922,1,1.0,0.5973971747835122,Loyal,0.2463874785313172,1,0.3739017615416793
6,7,0.944,France,Male,50,7,0.0,2,1,1,0.0502608999159419,0,1.3333333333333333,0.3314202999719807,Loyal,0.2474815034094356,1,0.0
8,9,0.3019999999999999,France,Male,44,4,0.5661703921301275,2,0,1,0.3746803819764787,0,1.0,0.4142835913688687,Established,0.2474815034094356,1,0.4486333988846085
9,10,0.668,France,Male,27,2,0.5364882610306042,1,1,1,0.3586049967771922,0,1.0,0.5210310859359321,New,0.2474815034094356,0,0.4294994624880187
10,11,0.356,France,Male,31,6,0.4066062041365082,2,0,0,0.4008859846115303,0,0.6666666666666666,0.3878307295826795,Loyal,0.2474815034094356,0,0.341179855614677
11,12,0.2939999999999999,Spain,Male,24,3,0.0,2,1,0,0.3819286241836095,0,1.0,0.2253095413945365,Established,0.2463874785313172,0,0.0
12,13,0.252,France,Female,34,10,0.0,2,1,0,0.1312595352856197,0,1.0,0.1277531784285399,Veteran,0.2474815034094356,0,0.0
13,14,0.398,France,Female,25,5,0.0,2,0,0,0.954322187768932,0,0.6666666666666666,0.450774062589644,Established,0.2474815034094356,0,0.0
14,15,0.57,Spain,Female,35,7,0.0,2,1,1,0.3297318393906617,0,1.3333333333333333,0.2999106131302205,Loyal,0.2463874785313172,0,0.0
15,16,0.5319999999999999,Germany,Male,45,3,0.5704683124530762,2,0,1,0.3216091136703555,0,1.0,0.4746924753744772,Established,0.4772061681853294,1,0.451373863067813
16,17,0.606,Germany,Male,58,1,0.5285129113577549,1,1,0,0.0254328788399292,1,0.6666666666666666,0.3866485967325614,New,0.4772061681853294,2,0.4242953093904424
17,18,0.398,Spain,Female,24,9,0.0,2,1,1,0.0719810241878099,0,1.3333333333333333,0.1566603413959366,Veteran,0.2463874785313172,0,0.0
18,19,0.4739999999999998,Spain,Male,45,6,0.0,1,0,0,0.7934419237037137,0,0.3333333333333333,0.4224806412345712,Loyal,0.2463874785313172,1,0.0
19,20,0.7519999999999999,France,Female,24,6,0.0,2,1,1,0.2735883776900694,0,1.3333333333333333,0.3418627925633564,Loyal,0.2474815034094356,0,0.0
