RowNumber,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,EngagementScore,FinancialHealthScore,CustomerTenureGroup,AvgBalanceByGeography,ClusterLabel,LogBalance
1,0.5379999999999999,France,Female,42,2,0.0,1,1,1,0.5067348931822989,1,1.0,0.34824496439409963,New,0.24748150340943567,1,0.0
2,0.5159999999999999,Spain,Female,41,1,0.334031478677259,1,0,1,0.5627087386845444,0,0.6666666666666666,0.47091340578726776,New,0.24638747853131726,1,0.2882055444243618
3,0.30399999999999994,France,Female,42,8,0.6363571759354565,3,1,0,0.5696543519906151,1,1.3333333333333333,0.5033371759753571,Loyal,0.24748150340943567,1,0.4924725370505573
4,0.6980000000000001,France,Female,39,1,0.0,2,0,0,0.46912005096486714,0,0.6666666666666666,0.38904001698828905,New,0.24748150340943567,1,0.0
5,0.9999999999999999,Spain,Female,43,2,0.5002462155052676,1,1,1,0.3954003607344502,0,1.0,0.6318821920799059,New,0.24638747853131726,1,0.40562923830824454
6,0.59,Spain,Male,44,8,0.45339436422174445,2,1,0,0.7487971601287922,1,1.0,0.5973971747835122,Loyal,0.24638747853131726,1,0.37390176154167937
7,0.9440000000000001,France,Male,50,7,0.0,2,1,1,0.050260899915941966,0,1.3333333333333333,0.3314202999719807,Loyal,0.24748150340943567,1,0.0
8,0.051999999999999935,Germany,Female,29,4,0.4585397202505608,4,1,0,0.5967334880481086,1,1.6666666666666667,0.3690910694328897,Established,0.4772061681853294,0,0.3774357435856372
9,0.30199999999999994,France,Male,44,4,0.5661703921301275,2,0,1,0.37468038197647874,0,1.0,0.4142835913688687,Established,0.24748150340943567,1,0.4486333988846085
10,0.668,France,Male,27,2,0.5364882610306042,1,1,1,0.3586049967771922,0,1.0,0.5210310859359321,New,0.24748150340943567,0,0.42949946248801874
11,0.356,France,Male,31,6,0.4066062041365082,2,0,0,0.40088598461153035,0,0.6666666666666666,0.38783072958267956,Loyal,0.24748150340943567,0,0.34117985561467706
12,0.29399999999999993,Spain,Male,24,3,0.0,2,1,0,0.3819286241836095,0,1.0,0.2253095413945365,Established,0.24638747853131726,0,0.0
13,0.252,France,Female,34,10,0.0,2,1,0,0.13125953528561976,0,1.0,0.12775317842853992,Veteran,0.24748150340943567,0,0.0
14,0.398,France,Female,25,5,0.0,2,0,0,0.9543221877689319,0,0.6666666666666666,0.450774062589644,Established,0.24748150340943567,0,0.0
15,0.57,Spain,Female,35,7,0.0,2,1,1,0.32973183939066175,0,1.3333333333333333,0.29991061313022055,Loyal,0.24638747853131726,0,0.0
16,0.5319999999999999,Germany,Male,45,3,0.5704683124530762,2,0,1,0.32160911367035555,0,1.0,0.47469247537447723,Established,0.4772061681853294,1,0.451373863067813
17,0.606,Germany,Male,58,1,0.5285129113577549,1,1,0,0.02543287883992921,1,0.6666666666666666,0.3866485967325614,New,0.4772061681853294,2,0.4242953093904424
18,0.398,Spain,Female,24,9,0.0,2,1,1,0.07198102418780992,0,1.3333333333333333,0.15666034139593665,Veteran,0.24638747853131726,0,0.0
19,0.47399999999999987,Spain,Male,45,6,0.0,1,0,0,0.7934419237037137,0,0.3333333333333333,0.4224806412345712,Loyal,0.24638747853131726,1,0.0
20,0.7519999999999999,France,Female,24,6,0.0,2,1,1,0.2735883776900694,0,1.3333333333333333,0.34186279256335644,Loyal,0.24748150340943567,0,0.0
21,0.7639999999999999,France,Male,41,8,0.0,2,1,1,0.8544545504095641,0,1.3333333333333333,0.5394848501365214,Loyal,0.24748150340943567,1,0.0
22,0.572,Spain,Female,32,8,0.0,2,1,0,0.6927855610210775,0,1.0,0.4215951870070258,Loyal,0.24638747853131726,0,0.0
23,0.31999999999999995,Spain,Female,38,4,0.0,1,1,0,0.5945665311037204,1,0.6666666666666666,0.30485551036790676,Established,0.24638747853131726,1,0.0
24,0.638,France,Male,46,3,0.0,2,0,1,0.04238489775773586,0,1.0,0.2267949659192453,Established,0.24748150340943567,1,0.0
25,0.9919999999999999,France,Female,38,5,0.0,1,1,1,0.9381124897427704,0,1.0,0.6433708299142568,Established,0.24748150340943567,1,0.0
26,0.45399999999999985,France,Male,25,3,0.0,2,0,1,0.6225430028567728,0,1.0,0.3588476676189242,Established,0.24748150340943567,0,0.0
27,0.8119999999999999,Germany,Male,36,2,0.5453036330408096,1,1,1,0.8502330472560129,0,1.0,0.7358455600989409,New,0.4772061681853294,0,0.4352204172809632
28,0.44200000000000006,France,Male,44,9,0.0,2,0,0,0.19212719814742305,0,0.6666666666666666,0.2113757327158077,Veteran,0.24748150340943567,1,0.0
29,0.44800000000000006,Germany,Female,43,3,0.5633738782148561,1,1,1,0.5009270885369552,0,1.0,0.5041003222506037,Established,0.4772061681853294,1,0.4468462283460068
30,0.122,France,Male,29,0,0.23793393564693938,2,1,1,0.26738368514193106,0,1.3333333333333333,0.20910587359629015,,0.24748150340943567,0,0.213443809063822
31,0.4819999999999999,Spain,Female,39,3,0.0,3,1,0,0.702356075005163,1,1.3333333333333333,0.39478535833505424,Established,0.24638747853131726,1,0.0
32,0.366,France,Male,36,7,0.3400253066892618,1,0,1,0.7836764911049005,0,0.6666666666666666,0.4965672659313875,Loyal,0.24748150340943567,0,0.29268849937349084
33,0.406,Germany,Male,41,9,0.43887356814872525,2,0,0,0.40947525488684167,0,0.6666666666666666,0.418116274345189,Veteran,0.4772061681853294,1,0.3638605631339945
34,0.33999999999999997,Spain,Female,42,6,0.0,2,1,1,0.17201127707696084,0,1.3333333333333333,0.17067042569232027,Loyal,0.24638747853131726,1,0.0
35,0.7439999999999999,Spain,Female,29,9,0.0,2,1,1,0.710175271738451,0,1.3333333333333333,0.4847250905794836,Veteran,0.24638747853131726,0,0.0
36,0.25,France,Female,45,0,0.5351337668612783,1,1,0,0.13907033121663118,1,0.6666666666666666,0.3080680326926365,,0.24748150340943567,1,0.4286175217773308
37,0.2799999999999999,Spain,Male,31,3,0.5789610833625718,1,0,1,0.570330416554781,0,0.6666666666666666,0.47643049997245085,Established,0.24638747853131726,0,0.4567670885876195
38,0.908,Spain,Male,33,7,0.3050983767951363,1,0,1,0.49225636048242605,0,0.6666666666666666,0.5684515790925208,Loyal,0.24638747853131726,0,0.2662784224507326
39,0.9999999999999999,France,Male,36,7,0.0,1,1,1,0.20402608449106888,0,1.0,0.40134202816368963,Loyal,0.24748150340943567,0,0.0
40,0.46399999999999986,Germany,Male,41,6,0.28039065582364536,2,0,1,0.8903973329452962,0,1.0,0.5449293295896472,Loyal,0.4772061681853294,1,0.24716523122974476
41,0.244,Spain,Male,40,4,0.0,1,1,0,0.35074669630949756,0,0.6666666666666666,0.19824889876983254,Established,0.24638747853131726,1,0.0
42,0.22999999999999998,France,Female,51,8,0.48833500486193426,1,0,0,0.9065169223660858,1,0.3333333333333333,0.5416173090760067,Loyal,0.24748150340943567,2,0.39765804874724786
43,0.41200000000000003,France,Female,61,2,0.46799618920973063,1,1,1,0.47075620721778927,0,1.0,0.45025079880917335,New,0.24748150340943567,2,0.3838983342827764
44,0.9679999999999999,France,Female,49,2,0.5236969320890407,1,0,0,0.97186371298459,1,0.3333333333333333,0.8211868816912102,New,0.24748150340943567,1,0.42113957402986035
45,0.62,Spain,Female,61,5,0.6214918176539327,1,1,1,0.7917096582723651,0,1.0,0.677733825308766,Established,0.24638747853131726,2,0.48334660059396695
46,0.852,Germany,Female,32,4,0.4361178277602672,2,1,1,0.6325898123270772,0,1.3333333333333333,0.6402358800291147,Established,0.4772061681853294,0,0.3619435200177353
